lat,lon,useful_crop_percentage,useless_non_crop_percentage
40.93487935325868,-87.26444348595373,79.09,20.91
45.43487935325868,-98.26444348595372,78.96,21.04
39.93487935325868,-97.76444348595372,78.93,21.07
43.93487935325868,-96.26444348595372,78.86,21.14
41.43487935325868,-96.26444348595372,78.75,21.25
40.93487935325868,-89.76444348595373,78.72,21.28
32.43487935325868,-101.76444348595372,78.7,21.3
37.93487935325868,-97.76444348595372,78.31,21.69
42.43487935325868,-88.76444348595373,78.24,21.76
37.43487935325868,-120.76444348595372,78.21,21.79
38.43487935325868,-89.26444348595373,78.14,21.86
41.93487935325868,-93.76444348595372,77.98,22.02
40.43487935325868,-83.26444348595373,77.9,22.1
34.43487935325868,-91.76444348595372,77.85,22.15
41.93487935325868,-95.26444348595372,77.84,22.16
42.93487935325868,-84.76444348595373,77.8,22.2
43.43487935325868,-94.76444348595372,77.8,22.2
40.93487935325868,-85.76444348595373,77.51,22.49
39.43487935325868,-100.76444348595372,77.5,22.5
39.43487935325868,-101.76444348595372,77.4,22.6
41.93487935325868,-83.76444348595373,77.33,22.67
44.93487935325868,-100.26444348595372,77.24,22.76
41.93487935325868,-94.76444348595372,77.23,22.77
42.93487935325868,-92.76444348595372,77.17,22.83
43.93487935325868,-96.76444348595372,77.13,22.87
43.43487935325868,-82.76444348595373,77.07,22.93
39.43487935325868,-89.76444348595373,77.02,22.98
36.93487935325868,-120.26444348595372,76.96,23.04
41.93487935325868,-91.26444348595372,76.84,23.16
40.43487935325868,-84.26444348595373,76.74,23.26
33.43487935325868,-99.76444348595372,76.67,23.33
48.93487935325868,-102.26444348595372,76.51,23.49
46.43487935325868,-102.76444348595372,76.46,23.54
41.43487935325868,-92.76444348595372,76.44,23.56
41.43487935325868,-96.76444348595372,76.43,23.57
43.93487935325868,-95.26444348595372,76.4,23.6
42.43487935325868,-94.26444348595372,76.37,23.63
48.93487935325868,-98.26444348595372,76.34,23.66
44.43487935325868,-95.76444348595372,76.16,23.84
39.43487935325868,-85.76444348595373,76.1,23.9
42.43487935325868,-93.76444348595372,75.97,24.03
40.43487935325868,-85.26444348595373,75.81,24.19
40.43487935325868,-89.76444348595373,75.76,24.24
41.93487935325868,-92.76444348595372,75.74,24.26
40.93487935325868,-82.76444348595373,75.68,24.32
46.93487935325868,-118.76444348595372,75.67,24.33
48.93487935325868,-111.76444348595372,75.64,24.36
44.43487935325868,-94.76444348595372,75.58,24.42
32.93487935325868,-101.76444348595372,75.57,24.43
39.43487935325868,-103.26444348595372,75.55,24.45
41.93487935325868,-94.26444348595372,75.45,24.55
37.93487935325868,-100.26444348595372,75.43,24.57
43.93487935325868,-93.26444348595372,75.4,24.6
41.93487935325868,-90.76444348595372,75.35,24.65
40.43487935325868,-98.76444348595372,75.32,24.68
40.43487935325868,-87.26444348595373,75.31,24.69
46.93487935325868,-109.76444348595372,75.28,24.72
44.43487935325868,-96.76444348595372,75.25,24.75
41.93487935325868,-96.26444348595372,75.05,24.95
40.93487935325868,-96.26444348595372,75.03,24.97
46.43487935325868,-118.26444348595372,75.01,24.99
47.43487935325868,-117.26444348595372,75.0,25.0
42.43487935325868,-93.26444348595372,74.97,25.03
39.43487935325868,-98.26444348595372,74.86,25.14
45.43487935325868,-96.26444348595372,74.84,25.16
44.43487935325868,-97.26444348595372,74.69,25.31
40.93487935325868,-95.26444348595372,74.68,25.32
38.93487935325868,-88.76444348595373,74.63,25.37
30.43487935325868,-92.76444348595372,74.53,25.47
42.93487935325868,-97.26444348595372,74.45,25.55
48.43487935325868,-101.26444348595372,74.41,25.59
37.43487935325868,-97.76444348595372,74.32,25.68
46.43487935325868,-98.76444348595372,74.22,25.78
48.43487935325868,-101.76444348595372,74.08,25.92
47.93487935325868,-96.26444348595372,74.03,25.97
41.93487935325868,-93.26444348595372,73.93,26.07
39.93487935325868,-88.76444348595373,73.71,26.29
42.43487935325868,-91.76444348595372,73.62,26.38
47.93487935325868,-111.76444348595372,73.39,26.61
47.43487935325868,-99.26444348595372,73.13,26.87
40.93487935325868,-90.76444348595372,73.1,26.9
33.93487935325868,-90.26444348595372,73.1,26.9
47.93487935325868,-111.26444348595372,73.09,26.91
46.43487935325868,-100.26444348595372,72.97,27.03
40.43487935325868,-91.26444348595372,72.92,27.08
47.93487935325868,-97.76444348595372,72.71,27.29
45.93487935325868,-118.76444348595372,72.49,27.51
40.93487935325868,-83.26444348595373,72.43,27.57
43.43487935325868,-92.26444348595372,72.37,27.63
41.93487935325868,-88.76444348595373,72.22,27.78
43.43487935325868,-98.26444348595372,72.14,27.86
42.93487935325868,-92.26444348595372,71.93,28.07
48.43487935325868,-99.26444348595372,71.73,28.27
39.43487935325868,-83.76444348595373,71.72,28.28
38.43487935325868,-101.26444348595372,71.71,28.29
41.43487935325868,-83.26444348595373,71.71,28.29
48.93487935325868,-105.26444348595372,71.63,28.37
32.43487935325868,-91.26444348595372,71.56,28.44
43.93487935325868,-82.76444348595373,71.39,28.61
48.43487935325868,-97.76444348595372,71.32,28.68
34.43487935325868,-90.26444348595372,71.18,28.82
37.93487935325868,-99.26444348595372,71.13,28.87
37.43487935325868,-87.26444348595373,71.13,28.87
44.43487935325868,-93.76444348595372,71.13,28.87
47.93487935325868,-95.76444348595372,71.03,28.97
40.43487935325868,-86.26444348595373,71.03,28.97
41.43487935325868,-94.26444348595372,70.85,29.15
48.93487935325868,-112.26444348595372,70.84,29.16
41.93487935325868,-95.76444348595372,70.53,29.47
41.43487935325868,-83.76444348595373,70.37,29.63
48.43487935325868,-103.76444348595372,70.32,29.68
48.93487935325868,-105.76444348595372,70.31,29.69
43.43487935325868,-93.26444348595372,70.3,29.7
46.93487935325868,-117.76444348595372,70.23,29.77
43.93487935325868,-111.26444348595372,70.22,29.78
39.93487935325868,-95.26444348595372,70.07,29.93
43.93487935325868,-97.26444348595372,70.05,29.95
37.43487935325868,-100.26444348595372,70.04,29.96
47.43487935325868,-96.26444348595372,70.01,29.99
44.93487935325868,-95.76444348595372,69.95,30.05
