lat,lon,useful_crop_percentage,useless_non_crop_percentage,State
46.43487935325868,-96.76444348595372,85.33,14.67,North Dakota
43.43487935325868,-96.26444348595372,85.29,14.71,Iowa
42.93487935325868,-96.76444348595372,85.28,14.72,South Dakota
40.93487935325868,-87.76444348595373,85.18,14.82,Illinois
31.43487935325868,-100.26444348595372,85.15,14.85,Texas
43.43487935325868,-93.76444348595372,85.05,14.95,Iowa
33.43487935325868,-102.26444348595372,84.98,15.02,Texas
43.93487935325868,-94.76444348595372,84.93,15.07,Minnesota
48.43487935325868,-97.26444348595372,84.76,15.24,North Dakota
43.43487935325868,-92.76444348595372,84.66,15.34,Iowa
48.93487935325868,-98.76444348595372,84.61,15.39,North Dakota
40.93487935325868,-88.76444348595373,84.44,15.56,Illinois
35.43487935325868,-91.26444348595372,84.42,15.58,Arkansas
35.43487935325868,-119.26444348595372,84.4,15.6,California
35.43487935325868,-90.26444348595372,84.33,15.67,Arkansas
48.43487935325868,-98.76444348595372,84.1,15.9,North Dakota
40.43487935325868,-88.76444348595373,84.05,15.95,Illinois
45.43487935325868,-95.76444348595372,84.03,15.97,Minnesota
33.93487935325868,-90.76444348595372,83.98,16.02,Mississippi
46.93487935325868,-117.26444348595372,83.7,16.3,Washington
35.93487935325868,-119.26444348595372,83.58,16.42,California
43.93487935325868,-93.76444348595372,83.52,16.48,Minnesota
40.93487935325868,-86.26444348595373,83.35,16.65,Indiana
48.93487935325868,-97.26444348595372,83.33,16.67,North Dakota
48.43487935325868,-103.26444348595372,83.33,16.67,North Dakota
45.93487935325868,-96.76444348595372,83.33,16.67,South Dakota
40.43487935325868,-95.26444348595372,83.02,16.98,Missouri
43.93487935325868,-94.26444348595372,82.99,17.01,Minnesota
48.43487935325868,-110.26444348595372,82.99,17.01,Montana
47.43487935325868,-97.76444348595372,82.92,17.08,North Dakota
48.93487935325868,-101.76444348595372,82.85,17.15,North Dakota
42.43487935325868,-96.76444348595372,82.67,17.33,Nebraska
41.43487935325868,-89.76444348595373,82.63,17.37,Illinois
34.43487935325868,-102.76444348595372,82.63,17.37,Texas
42.43487935325868,-97.76444348595372,82.38,17.62,Nebraska
40.93487935325868,-84.26444348595373,82.23,17.77,Ohio
40.43487935325868,-96.76444348595372,82.17,17.83,Nebraska
48.93487935325868,-104.76444348595372,82.1,17.9,Montana
43.93487935325868,-95.76444348595372,81.92,18.08,Minnesota
39.43487935325868,-101.26444348595372,81.71,18.29,Kansas
48.93487935325868,-97.76444348595372,81.71,18.29,North Dakota
36.43487935325868,-100.76444348595372,81.65,18.35,Texas
42.93487935325868,-93.26444348595372,81.59,18.41,Iowa
41.43487935325868,-95.26444348595372,81.59,18.41,Iowa
